,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted_encoded,department_encoded,region_encoded,education_encoded,gender_encoded,recruitment_channel_encoded,is_promoted
2011,48990,Finance,region_27,Bachelor's,F,sourcing,1,26,3.0,3,0,57.0,0,1,19,0,0,2,No
2014,66816,Technology,region_2,Bachelor's,F,sourcing,1,29,5.0,3,0,83.0,0,8,11,0,0,2,No
2015,60101,Procurement,region_22,Bachelor's,F,other,1,27,3.0,6,0,68.0,0,5,14,0,0,0,No
2017,53652,Sales & Marketing,region_2,Bachelor's,M,other,1,30,4.0,3,0,46.0,0,7,11,0,1,0,No
2019,45874,Procurement,region_17,Master's & above,M,other,1,46,3.0,6,0,68.0,0,5,8,2,1,0,No
2021,4990,Sales & Marketing,region_22,Bachelor's,M,sourcing,1,23,3.0,3,0,46.0,0,7,14,0,1,2,No
2024,15531,Operations,region_13,Bachelor's,F,sourcing,1,35,3.0,9,0,59.0,0,4,4,0,0,2,No
2026,76997,Legal,region_2,Bachelor's,M,other,1,44,3.0,10,0,58.0,0,3,11,0,1,0,No
2032,61908,HR,region_2,Master's & above,M,referred,1,36,3.0,6,0,50.0,0,2,11,2,1,1,No
2035,60027,Operations,region_2,Master's & above,F,other,1,48,3.0,5,0,59.0,0,4,11,2,0,0,No
2036,66882,HR,region_22,Master's & above,F,other,1,29,3.0,6,0,50.0,0,2,14,2,0,0,No
2038,73613,Analytics,region_15,Bachelor's,M,other,1,28,5.0,3,0,85.0,0,0,6,0,1,0,No
2041,23343,Sales & Marketing,region_4,Bachelor's,M,other,1,46,5.0,12,0,50.0,0,7,28,0,1,0,No
2042,67678,Sales & Marketing,region_15,Bachelor's,M,sourcing,1,34,3.0,7,0,50.0,0,7,6,0,1,2,No
2044,10163,Procurement,region_2,Master's & above,F,sourcing,1,48,3.0,9,0,64.0,0,5,11,2,0,2,No
2045,53745,Legal,region_27,Bachelor's,M,sourcing,1,31,3.0,4,0,63.0,0,3,19,0,1,2,No
2048,35649,Procurement,region_5,Bachelor's,M,sourcing,1,33,2.0,8,0,66.0,0,5,29,0,1,2,No
2049,43233,Sales & Marketing,region_2,Bachelor's,M,referred,1,32,5.0,7,0,49.0,0,7,11,0,1,1,No
2051,66140,Procurement,region_2,Bachelor's,F,sourcing,1,28,3.0,2,0,66.0,0,5,11,0,0,2,No
2053,74340,Procurement,region_27,Bachelor's,F,other,1,33,4.0,4,0,70.0,0,5,19,0,0,0,No
2056,73386,Procurement,region_15,Master's & above,M,other,1,39,2.0,4,1,74.0,1,5,6,2,1,0,Yes
2057,16305,Sales & Marketing,region_5,Master's & above,M,other,1,43,2.0,12,0,48.0,0,7,29,2,1,0,No
2058,8238,Legal,region_5,Bachelor's,M,other,1,32,5.0,4,0,59.0,0,3,29,0,1,0,No
2059,34479,Operations,region_29,Bachelor's,M,other,1,42,2.0,2,0,57.0,0,4,21,0,1,0,No
2061,49655,Technology,region_2,Bachelor's,M,sourcing,1,47,3.0,3,0,77.0,0,8,11,0,1,2,No
2064,52390,Sales & Marketing,region_7,Master's & above,F,other,1,33,5.0,8,0,46.0,0,7,31,2,0,0,No
2065,4138,Technology,region_27,Bachelor's,M,other,1,39,4.0,10,0,78.0,0,8,19,0,1,0,No
2066,67502,R&D,region_2,Master's & above,M,sourcing,1,44,3.0,5,0,83.0,0,6,11,2,1,2,No
2068,32887,Operations,region_29,Bachelor's,M,other,1,28,2.0,2,0,58.0,0,4,21,0,1,0,No
2070,57359,HR,region_28,Bachelor's,M,sourcing,1,31,4.0,4,0,47.0,0,2,20,0,1,2,No
2071,6171,Procurement,region_22,Bachelor's,M,other,1,32,5.0,4,1,99.0,1,5,14,0,1,0,Yes
2073,77517,Technology,region_2,Master's & above,M,sourcing,1,57,3.0,6,0,76.0,0,8,11,2,1,2,No
2074,64549,Operations,region_29,Master's & above,M,sourcing,1,31,3.0,5,0,60.0,0,4,21,2,1,2,No
2077,16421,Operations,region_15,Bachelor's,M,other,1,35,4.0,7,0,56.0,0,4,6,0,1,0,No
2081,40834,Operations,region_2,Bachelor's,F,other,1,35,3.0,3,0,59.0,0,4,11,0,0,0,No
2083,59412,Sales & Marketing,region_7,Bachelor's,M,other,1,32,5.0,4,0,51.0,0,7,31,0,1,0,No
2084,15825,Operations,region_14,Bachelor's,M,sourcing,1,34,4.0,7,0,60.0,0,4,5,0,1,2,No
2085,13648,HR,region_2,Bachelor's,M,other,1,29,4.0,3,0,50.0,0,2,11,0,1,0,No
2086,1359,Technology,region_11,Master's & above,M,other,1,34,3.0,9,0,81.0,0,8,2,2,1,0,No
2087,56588,Sales & Marketing,region_33,Bachelor's,M,sourcing,1,36,2.0,7,0,43.0,0,7,26,0,1,2,No
2088,16087,Operations,region_21,Bachelor's,M,other,1,34,3.0,6,0,55.0,1,4,13,0,1,0,Yes
2090,34585,Operations,region_26,Master's & above,M,sourcing,1,44,3.0,6,0,56.0,0,4,18,2,1,2,No
2091,41402,Operations,region_15,Master's & above,F,sourcing,1,32,4.0,9,0,60.0,0,4,6,2,0,2,No
2093,21335,Technology,region_13,Master's & above,M,other,1,36,3.0,7,0,87.0,1,8,4,2,1,0,Yes
2094,63129,Finance,region_2,Master's & above,M,sourcing,1,35,3.0,2,0,58.0,0,1,11,2,1,2,No
2095,61562,Sales & Marketing,region_22,Bachelor's,M,referred,1,32,3.0,7,0,48.0,0,7,14,0,1,1,No
2096,61876,HR,region_31,Bachelor's,F,other,1,33,5.0,5,0,50.0,0,2,24,0,0,0,No
2097,53794,Operations,region_22,Master's & above,M,sourcing,1,38,5.0,8,0,56.0,0,4,14,2,1,2,No
2099,19603,Sales & Marketing,region_7,Master's & above,F,other,1,34,4.0,6,0,47.0,0,7,31,2,0,0,No
2100,6952,Sales & Marketing,region_2,Bachelor's,M,sourcing,1,28,5.0,4,0,51.0,0,7,11,0,1,2,No
2103,15967,Sales & Marketing,region_16,Bachelor's,F,other,1,38,3.0,2,0,52.0,0,7,7,0,0,0,No
2104,75235,Sales & Marketing,region_29,Bachelor's,M,other,1,35,3.0,10,0,50.0,1,7,21,0,1,0,Yes
2105,10817,Procurement,region_2,Master's & above,F,other,1,36,4.0,4,0,72.0,0,5,11,2,0,0,No
2106,53030,Technology,region_7,Bachelor's,M,other,1,27,2.0,2,0,80.0,0,8,31,0,1,0,No
2110,7245,Sales & Marketing,region_16,Bachelor's,M,sourcing,1,46,3.0,6,0,47.0,0,7,7,0,1,2,No
2111,71305,Sales & Marketing,region_2,Master's & above,M,other,1,55,3.0,15,0,48.0,0,7,11,2,1,0,No
2113,30828,Finance,region_28,Bachelor's,M,sourcing,1,31,5.0,5,0,55.0,1,1,20,0,1,2,Yes
2115,8257,Sales & Marketing,region_28,Bachelor's,M,other,1,30,3.0,5,0,50.0,0,7,20,0,1,0,No
2117,60075,Sales & Marketing,region_22,Master's & above,M,other,1,40,5.0,8,0,48.0,0,7,14,2,1,0,No
2119,63299,Procurement,region_8,Bachelor's,F,other,1,31,3.0,3,0,68.0,0,5,32,0,0,0,No
2120,53804,Operations,region_4,Bachelor's,M,other,1,31,5.0,7,0,57.0,0,4,28,0,1,0,No
2121,57580,Analytics,region_8,Bachelor's,M,sourcing,1,30,3.0,6,0,88.0,0,0,32,0,1,2,No
2124,66589,Technology,region_1,Bachelor's,F,other,1,28,2.0,5,0,80.0,0,8,0,0,0,0,No
2126,71187,Procurement,region_22,Master's & above,F,sourcing,1,33,5.0,7,0,68.0,1,5,14,2,0,2,Yes
2128,21304,Technology,region_27,Master's & above,M,other,1,40,5.0,14,1,85.0,1,8,19,2,1,0,Yes
2130,13319,Operations,region_12,Bachelor's,M,other,1,27,5.0,2,0,56.0,0,4,3,0,1,0,No
2132,11653,Analytics,region_27,Bachelor's,M,sourcing,1,29,4.0,1,0,81.0,1,0,19,0,1,2,Yes
2135,756,Sales & Marketing,region_13,Bachelor's,F,sourcing,1,33,5.0,7,0,50.0,0,7,4,0,0,2,No
2138,53761,Legal,region_2,Below Secondary,M,sourcing,1,28,4.0,2,0,63.0,0,3,11,1,1,2,No
2140,35993,Finance,region_29,Bachelor's,M,other,1,28,3.0,3,0,64.0,0,1,21,0,1,0,No
2143,57606,Operations,region_19,Bachelor's,F,other,1,37,5.0,10,0,65.0,0,4,10,0,0,0,No
2144,19582,HR,region_4,Master's & above,F,other,1,36,2.0,8,0,44.0,0,2,28,2,0,0,No
2145,43342,Procurement,region_15,Bachelor's,M,sourcing,1,31,5.0,5,0,71.0,0,5,6,0,1,2,No
2146,40472,Technology,region_13,Master's & above,F,other,1,32,4.0,7,0,97.0,1,8,4,2,0,0,Yes
2149,78106,Operations,region_15,Bachelor's,F,other,1,35,5.0,4,0,74.0,1,4,6,0,0,0,Yes
2150,76312,Analytics,region_13,Bachelor's,M,other,1,26,4.0,4,0,83.0,0,0,4,0,1,0,No
2151,30157,Technology,region_7,Master's & above,F,other,1,51,4.0,4,0,82.0,0,8,31,2,0,0,No
2155,40994,Procurement,region_2,Master's & above,F,sourcing,1,45,4.0,4,0,73.0,0,5,11,2,0,2,No
2158,23815,HR,region_2,Master's & above,M,other,1,46,3.0,9,0,48.0,0,2,11,2,1,0,No
2160,20836,Procurement,region_7,Master's & above,F,sourcing,1,40,2.0,8,0,69.0,0,5,31,2,0,2,No
2161,40524,Sales & Marketing,region_13,Bachelor's,M,other,1,38,3.0,7,0,50.0,0,7,4,0,1,0,No
2163,5927,Operations,region_6,Bachelor's,M,other,1,26,4.0,5,0,60.0,0,4,30,0,1,0,No
2165,27712,Analytics,region_19,Bachelor's,M,other,1,41,4.0,11,0,84.0,0,0,10,0,1,0,No
2170,11177,Technology,region_24,Bachelor's,F,other,1,28,4.0,2,0,84.0,0,8,16,0,0,0,No
2171,20459,Technology,region_7,Bachelor's,M,other,1,29,3.0,4,0,75.0,0,8,31,0,1,0,No
2173,18090,Analytics,region_2,Bachelor's,M,sourcing,1,38,4.0,8,0,87.0,0,0,11,0,1,2,No
2175,9981,Technology,region_15,Bachelor's,M,other,1,33,3.0,8,0,82.0,0,8,6,0,1,0,No
2176,63939,R&D,region_22,Master's & above,M,other,1,37,4.0,10,0,86.0,0,6,14,2,1,0,No
2178,37460,Technology,region_6,Bachelor's,M,sourcing,1,33,4.0,6,0,83.0,0,8,30,0,1,2,No
2179,10607,Analytics,region_8,Bachelor's,M,sourcing,1,27,5.0,5,0,87.0,1,0,32,0,1,2,Yes
2182,57795,Operations,region_22,Bachelor's,M,sourcing,1,57,3.0,12,0,58.0,0,4,14,0,1,2,No
2183,19454,HR,region_7,Master's & above,F,sourcing,1,36,4.0,2,0,51.0,0,2,31,2,0,2,No
2184,33300,Analytics,region_7,Bachelor's,M,other,1,34,5.0,9,0,84.0,0,0,31,0,1,0,No
2188,70840,Technology,region_2,Bachelor's,F,sourcing,1,42,5.0,11,0,78.0,0,8,11,0,0,2,No
2189,25965,Procurement,region_11,Bachelor's,F,other,1,31,5.0,2,0,71.0,1,5,2,0,0,0,Yes
2190,36406,HR,region_7,Bachelor's,F,other,1,28,5.0,2,0,49.0,0,2,31,0,0,0,No
2191,39398,Operations,region_15,Bachelor's,F,sourcing,1,31,4.0,5,0,59.0,0,4,6,0,0,2,No
2192,895,Sales & Marketing,region_2,Master's & above,M,other,1,45,3.0,3,0,49.0,0,7,11,2,1,0,No
2193,62581,Procurement,region_10,Master's & above,M,sourcing,1,32,5.0,3,0,73.0,0,5,1,2,1,2,No
2194,69061,HR,region_2,Bachelor's,F,other,1,46,5.0,3,0,52.0,0,2,11,0,0,0,No
2195,61944,Sales & Marketing,region_28,Bachelor's,F,other,1,32,5.0,7,1,48.0,0,7,20,0,0,0,No
2198,74217,Procurement,region_16,Bachelor's,M,other,1,32,3.0,6,0,69.0,0,5,7,0,1,0,No
2199,40754,Sales & Marketing,region_15,Bachelor's,M,sourcing,1,29,3.0,4,0,50.0,0,7,6,0,1,2,No
2200,37204,Procurement,region_7,Bachelor's,M,other,1,32,5.0,7,0,70.0,1,5,31,0,1,0,Yes
2201,51124,Sales & Marketing,region_30,Bachelor's,M,other,1,29,2.0,6,0,51.0,0,7,23,0,1,0,No
2202,28494,Sales & Marketing,region_8,Master's & above,M,other,1,30,5.0,6,0,51.0,0,7,32,2,1,0,No
2203,66614,Sales & Marketing,region_5,Bachelor's,M,other,1,33,4.0,4,0,49.0,0,7,29,0,1,0,No
2205,11399,Operations,region_13,Bachelor's,M,other,1,31,5.0,5,0,59.0,0,4,4,0,1,0,No
2206,49527,Procurement,region_11,Bachelor's,M,sourcing,1,31,3.0,7,0,71.0,0,5,2,0,1,2,No
2208,2227,Sales & Marketing,region_13,Bachelor's,M,sourcing,1,56,4.0,6,0,50.0,0,7,4,0,1,2,No
2210,4646,Sales & Marketing,region_2,Bachelor's,M,other,1,37,3.0,8,0,59.0,1,7,11,0,1,0,Yes
2211,60334,Sales & Marketing,region_1,Bachelor's,M,other,1,28,2.0,4,0,51.0,0,7,0,0,1,0,No
2213,35674,Technology,region_2,Master's & above,M,other,1,33,2.0,8,0,83.0,0,8,11,2,1,0,No
2214,31282,Operations,region_24,Bachelor's,M,other,1,33,4.0,6,0,62.0,0,4,16,0,1,0,No
2217,17458,Operations,region_22,Bachelor's,M,other,1,29,5.0,3,0,59.0,0,4,14,0,1,0,No
2219,39969,Sales & Marketing,region_20,Bachelor's,M,other,1,29,4.0,3,0,49.0,0,7,12,0,1,0,No
2220,20343,Sales & Marketing,region_2,Master's & above,M,sourcing,1,37,3.0,7,0,59.0,1,7,11,2,1,2,Yes
2222,14793,R&D,region_25,Master's & above,M,sourcing,1,35,5.0,8,0,86.0,0,6,17,2,1,2,No
2223,36912,Legal,region_2,Bachelor's,M,sourcing,1,40,4.0,5,0,63.0,0,3,11,0,1,2,No
2224,11089,Operations,region_11,Master's & above,M,other,1,45,5.0,14,0,56.0,0,4,2,2,1,0,No
2226,21431,Sales & Marketing,region_1,Master's & above,F,sourcing,1,32,4.0,5,0,49.0,0,7,0,2,0,2,No
2228,70616,HR,region_2,Master's & above,F,other,1,50,5.0,5,0,53.0,0,2,11,2,0,0,No
2229,75595,Sales & Marketing,region_7,Bachelor's,M,sourcing,1,27,3.0,3,0,48.0,0,7,31,0,1,2,No
2230,61334,Procurement,region_7,Master's & above,M,other,1,50,4.0,5,0,73.0,0,5,31,2,1,0,No
2232,36441,Procurement,region_26,Bachelor's,M,sourcing,1,38,3.0,4,0,71.0,0,5,18,0,1,2,No
2233,34509,Procurement,region_15,Master's & above,M,sourcing,1,43,5.0,9,0,69.0,0,5,6,2,1,2,No
2236,43938,Technology,region_6,Master's & above,F,sourcing,1,41,4.0,2,0,84.0,0,8,30,2,0,2,No
2237,44453,Procurement,region_16,Bachelor's,M,other,1,33,3.0,7,0,72.0,0,5,7,0,1,0,No
2238,61472,Sales & Marketing,region_20,Master's & above,M,other,1,39,3.0,4,0,48.0,0,7,12,2,1,0,No
2243,27779,Procurement,region_7,Master's & above,M,other,1,50,4.0,14,0,67.0,0,5,31,2,1,0,No
2245,75620,Operations,region_27,Bachelor's,F,other,1,31,3.0,5,0,58.0,0,4,19,0,0,0,No
2246,12819,Legal,region_22,Bachelor's,M,referred,1,30,5.0,5,0,58.0,0,3,14,0,1,1,No
2247,55180,Sales & Marketing,region_2,Master's & above,M,sourcing,1,41,3.0,6,0,52.0,0,7,11,2,1,2,No
2248,32947,Sales & Marketing,region_2,Master's & above,M,other,1,50,3.0,7,0,46.0,0,7,11,2,1,0,No
2255,37861,HR,region_2,Bachelor's,M,sourcing,1,46,4.0,8,0,52.0,0,2,11,0,1,2,No
2256,73375,Sales & Marketing,region_13,Bachelor's,M,other,1,31,5.0,3,0,57.0,0,7,4,0,1,0,No
2257,34482,HR,region_28,Bachelor's,M,sourcing,1,32,5.0,7,0,44.0,0,2,20,0,1,2,No
2258,5203,Sales & Marketing,region_2,Bachelor's,M,other,1,44,5.0,3,0,57.0,1,7,11,0,1,0,Yes
2261,63409,Operations,region_2,Master's & above,M,sourcing,1,48,3.0,7,0,62.0,0,4,11,2,1,2,No
2262,41771,Technology,region_2,Master's & above,F,other,1,42,2.0,2,0,79.0,0,8,11,2,0,0,No
2263,58010,Technology,region_14,Master's & above,F,other,1,44,3.0,15,0,78.0,0,8,5,2,0,0,No
2264,62954,Sales & Marketing,region_31,Bachelor's,M,other,1,31,3.0,6,0,50.0,0,7,24,0,1,0,No
2266,31360,Sales & Marketing,region_15,Master's & above,M,other,1,41,3.0,11,0,48.0,0,7,6,2,1,0,No
2268,29511,HR,region_28,Bachelor's,M,other,1,34,3.0,7,0,48.0,0,2,20,0,1,0,No
2270,8402,Procurement,region_2,Bachelor's,F,other,1,33,4.0,6,0,69.0,0,5,11,0,0,0,No
2271,12806,Legal,region_7,Bachelor's,M,other,1,37,4.0,7,0,62.0,0,3,31,0,1,0,No
2274,26882,Technology,region_9,Bachelor's,M,other,1,25,2.0,2,0,81.0,0,8,33,0,1,0,No
2275,40761,Operations,region_13,Bachelor's,M,other,1,26,3.0,2,0,66.0,0,4,4,0,1,0,No
2278,65817,Operations,region_31,Master's & above,F,sourcing,1,42,3.0,4,0,60.0,0,4,24,2,0,2,No
2279,31672,Operations,region_6,Bachelor's,M,other,1,28,5.0,3,0,58.0,0,4,30,0,1,0,No
2280,41666,HR,region_13,Master's & above,F,sourcing,1,44,5.0,9,0,49.0,0,2,4,2,0,2,No
2281,32127,Sales & Marketing,region_22,Bachelor's,M,sourcing,1,26,5.0,5,0,93.0,1,7,14,0,1,2,Yes
2282,75225,Technology,region_2,Master's & above,M,other,1,40,4.0,3,0,82.0,0,8,11,2,1,0,No
2283,25477,Operations,region_2,Bachelor's,M,sourcing,1,30,3.0,3,0,64.0,0,4,11,0,1,2,No
2284,48695,Sales & Marketing,region_1,Bachelor's,M,sourcing,1,29,5.0,5,0,52.0,0,7,0,0,1,2,No
2287,1442,Procurement,region_22,Master's & above,F,other,1,41,5.0,7,0,68.0,0,5,14,2,0,0,No
2288,28750,Operations,region_30,Master's & above,M,other,1,40,2.0,5,0,54.0,0,4,23,2,1,0,No
2289,5237,Sales & Marketing,region_2,Bachelor's,F,sourcing,1,54,4.0,12,0,47.0,1,7,11,0,0,2,Yes
2290,1028,Procurement,region_11,Bachelor's,M,other,1,32,3.0,5,0,72.0,0,5,2,0,1,0,No
2291,23943,Technology,region_27,Master's & above,M,sourcing,1,58,2.0,14,0,87.0,0,8,19,2,1,2,No
2292,13071,Procurement,region_7,Bachelor's,M,sourcing,1,31,5.0,3,0,74.0,0,5,31,0,1,2,No
2293,56001,Sales & Marketing,region_21,Bachelor's,M,sourcing,1,30,4.0,2,0,51.0,0,7,13,0,1,2,No
2295,11838,Procurement,region_1,Bachelor's,M,other,1,27,3.0,2,0,71.0,0,5,0,0,1,0,No
2296,21817,Operations,region_2,Bachelor's,F,other,1,30,4.0,6,1,59.0,1,4,11,0,0,0,Yes
2297,68124,Sales & Marketing,region_13,Master's & above,M,sourcing,1,36,3.0,4,0,47.0,0,7,4,2,1,2,No
2298,37627,Finance,region_2,Bachelor's,M,sourcing,1,50,4.0,7,0,54.0,0,1,11,0,1,2,No
2300,59851,Sales & Marketing,region_11,Bachelor's,M,sourcing,1,25,5.0,2,0,49.0,0,7,2,0,1,2,No
2302,5024,Sales & Marketing,region_26,Bachelor's,M,sourcing,1,35,3.0,7,0,55.0,0,7,18,0,1,2,No
2305,58416,Analytics,region_15,Bachelor's,M,sourcing,1,29,3.0,7,0,87.0,0,0,6,0,1,2,No
2307,40223,Operations,region_11,Bachelor's,M,sourcing,1,39,3.0,9,0,57.0,0,4,2,0,1,2,No
2308,20784,Procurement,region_23,Bachelor's,M,other,1,35,3.0,8,0,71.0,0,5,15,0,1,0,No
2309,40459,Analytics,region_27,Bachelor's,M,sourcing,1,33,5.0,3,0,92.0,1,0,19,0,1,2,Yes
2310,18095,Technology,region_2,Bachelor's,F,other,1,43,3.0,2,0,78.0,0,8,11,0,0,0,No
2312,45227,Procurement,region_7,Master's & above,M,sourcing,1,49,3.0,8,0,75.0,0,5,31,2,1,2,No
2314,40933,Operations,region_22,Master's & above,M,other,1,60,5.0,4,1,60.0,0,4,14,2,1,0,No
2316,49251,Sales & Marketing,region_13,Bachelor's,M,other,1,38,5.0,3,0,51.0,0,7,4,0,1,0,No
2318,56157,Operations,region_10,Bachelor's,F,sourcing,1,37,3.0,7,0,60.0,0,4,1,0,0,2,No
2319,8986,Procurement,region_13,Bachelor's,M,other,1,40,3.0,4,0,67.0,1,5,4,0,1,0,Yes
2320,62660,Analytics,region_22,Bachelor's,M,other,1,28,3.0,2,0,88.0,1,0,14,0,1,0,Yes
2322,71440,Sales & Marketing,region_7,Master's & above,M,other,1,39,4.0,15,0,49.0,0,7,31,2,1,0,No
2325,62438,Analytics,region_22,Master's & above,M,sourcing,1,32,2.0,5,0,85.0,0,0,14,2,1,2,No
2327,52467,Technology,region_2,Bachelor's,M,other,1,39,4.0,7,0,80.0,0,8,11,0,1,0,No
2328,6678,Sales & Marketing,region_15,Bachelor's,M,other,1,46,4.0,2,0,53.0,0,7,6,0,1,0,No
2329,41544,Sales & Marketing,region_23,Bachelor's,M,other,1,39,3.0,9,0,51.0,0,7,15,0,1,0,No
2331,77463,Procurement,region_30,Bachelor's,F,other,1,37,5.0,8,0,74.0,0,5,23,0,0,0,No
2332,44905,Procurement,region_19,Bachelor's,M,sourcing,1,38,5.0,3,0,70.0,1,5,10,0,1,2,Yes
2338,6102,Analytics,region_1,Bachelor's,M,other,1,32,5.0,3,0,85.0,0,0,0,0,1,0,No
2341,16013,Technology,region_10,Bachelor's,F,other,1,29,4.0,4,0,82.0,1,8,1,0,0,0,Yes
2348,57158,Procurement,region_2,Bachelor's,F,other,1,35,3.0,3,1,69.0,0,5,11,0,0,0,No
2350,41618,Analytics,region_25,Master's & above,M,sourcing,1,34,5.0,8,0,82.0,0,0,17,2,1,2,No
2351,54158,Technology,region_26,Bachelor's,M,other,1,26,5.0,4,0,78.0,1,8,18,0,1,0,Yes
2354,21595,Analytics,region_22,Bachelor's,M,sourcing,1,29,4.0,4,0,80.0,1,0,14,0,1,2,Yes
2355,31067,Sales & Marketing,region_4,Master's & above,M,other,1,40,5.0,12,0,47.0,0,7,28,2,1,0,No
2356,40310,Procurement,region_7,Master's & above,F,sourcing,1,55,5.0,4,0,69.0,0,5,31,2,0,2,No
2357,73213,Sales & Marketing,region_7,Bachelor's,M,sourcing,1,40,5.0,3,0,51.0,0,7,31,0,1,2,No
2359,56017,Operations,region_2,Bachelor's,F,other,1,37,4.0,10,0,59.0,0,4,11,0,0,0,No
2361,2136,Operations,region_6,Bachelor's,F,sourcing,1,32,5.0,2,0,64.0,0,4,30,0,0,2,No
2365,8374,Analytics,region_28,Master's & above,M,sourcing,1,37,5.0,7,0,90.0,0,0,20,2,1,2,No
2368,49332,Procurement,region_7,Master's & above,M,other,1,41,3.0,3,0,67.0,0,5,31,2,1,0,No
2370,63903,Sales & Marketing,region_2,Master's & above,M,other,1,54,3.0,12,0,53.0,1,7,11,2,1,0,Yes
2373,9792,Sales & Marketing,region_30,Bachelor's,M,other,1,33,5.0,6,0,52.0,0,7,23,0,1,0,No
2375,3430,Analytics,region_2,Master's & above,M,other,1,32,5.0,10,0,88.0,0,0,11,2,1,0,No
2377,59882,Sales & Marketing,region_13,Bachelor's,F,sourcing,1,32,5.0,2,0,48.0,0,7,4,0,0,2,No
2378,32567,Operations,region_2,Master's & above,M,other,1,38,5.0,6,0,79.0,1,4,11,2,1,0,Yes
2381,54039,Analytics,region_7,Bachelor's,M,other,1,45,5.0,12,0,85.0,0,0,31,0,1,0,No
2382,76628,Legal,region_22,Bachelor's,M,sourcing,1,37,3.0,7,0,59.0,0,3,14,0,1,2,No
2383,47539,Operations,region_13,Bachelor's,M,other,1,50,3.0,8,0,57.0,0,4,4,0,1,0,No
2384,68206,Sales & Marketing,region_33,Bachelor's,M,sourcing,1,29,5.0,5,0,47.0,0,7,26,0,1,2,No
2385,23393,Sales & Marketing,region_9,Master's & above,M,sourcing,1,30,2.0,7,0,49.0,0,7,33,2,1,2,No
2386,32081,Sales & Marketing,region_4,Bachelor's,M,other,1,31,3.0,2,0,50.0,0,7,28,0,1,0,No
2389,52772,Technology,region_17,Bachelor's,M,sourcing,1,30,3.0,6,0,81.0,1,8,8,0,1,2,Yes
2392,27709,Analytics,region_2,Bachelor's,M,sourcing,1,33,3.0,4,0,82.0,1,0,11,0,1,2,Yes
2394,2081,Sales & Marketing,region_29,Bachelor's,M,sourcing,1,31,2.0,6,0,55.0,0,7,21,0,1,2,No
2395,1957,Operations,region_15,Bachelor's,M,sourcing,1,46,5.0,9,1,89.0,1,4,6,0,1,2,Yes
2397,59582,Sales & Marketing,region_2,Bachelor's,M,sourcing,1,36,3.0,9,0,51.0,0,7,11,0,1,2,No
2398,63888,Finance,region_4,Master's & above,M,other,1,35,4.0,8,0,63.0,0,1,28,2,1,0,No
2400,75759,Operations,region_4,Bachelor's,F,sourcing,1,39,3.0,5,0,58.0,1,4,28,0,0,2,Yes
2402,66115,Operations,region_22,Bachelor's,M,sourcing,1,30,3.0,7,0,55.0,0,4,14,0,1,2,No
2403,3227,Sales & Marketing,region_26,Bachelor's,M,other,1,39,5.0,4,0,50.0,0,7,18,0,1,0,No
2405,22076,HR,region_16,Bachelor's,M,other,1,30,3.0,3,0,55.0,0,2,7,0,1,0,No
2406,50263,Analytics,region_8,Bachelor's,M,other,1,28,4.0,2,0,82.0,0,0,32,0,1,0,No
2408,14239,Operations,region_30,Bachelor's,F,sourcing,1,30,5.0,6,0,60.0,0,4,23,0,0,2,No
2412,76474,Operations,region_20,Master's & above,F,other,1,43,3.0,15,0,59.0,0,4,12,2,0,0,No
2413,11845,HR,region_32,Bachelor's,F,sourcing,1,31,3.0,4,0,49.0,0,2,25,0,0,2,No
2416,74452,Analytics,region_23,Bachelor's,M,other,1,30,4.0,5,0,82.0,0,0,15,0,1,0,No
2417,7061,Procurement,region_20,Master's & above,F,other,1,38,5.0,3,0,68.0,0,5,12,2,0,0,No
2418,13872,Operations,region_15,Bachelor's,M,other,1,30,3.0,2,0,56.0,0,4,6,0,1,0,No
2422,41705,Legal,region_2,Bachelor's,M,other,1,38,3.0,6,1,60.0,0,3,11,0,1,0,No
2424,19986,Technology,region_7,Master's & above,F,sourcing,1,42,5.0,12,0,77.0,1,8,31,2,0,2,Yes
2427,8395,Procurement,region_16,Master's & above,F,sourcing,1,35,3.0,10,0,67.0,0,5,7,2,0,2,No
2428,40320,Analytics,region_13,Bachelor's,M,other,1,26,3.0,2,0,85.0,1,0,4,0,1,0,Yes
2429,5613,Sales & Marketing,region_2,Bachelor's,M,sourcing,1,35,5.0,9,0,50.0,0,7,11,0,1,2,No
2430,69246,Operations,region_1,Master's & above,F,other,1,31,4.0,6,0,59.0,0,4,0,2,0,0,No
2431,61621,Operations,region_2,Bachelor's,M,sourcing,1,34,4.0,5,0,53.0,0,4,11,0,1,2,No
2433,18955,Analytics,region_2,Bachelor's,F,sourcing,1,27,4.0,5,0,86.0,0,0,11,0,0,2,No
2436,30379,Procurement,region_26,Master's & above,F,other,1,35,3.0,10,0,67.0,0,5,18,2,0,0,No
2437,16071,Technology,region_33,Bachelor's,F,sourcing,1,30,4.0,5,0,80.0,0,8,26,0,0,2,No
2439,74622,Technology,region_24,Bachelor's,F,sourcing,1,28,3.0,3,0,79.0,0,8,16,0,0,2,No
2440,68572,Procurement,region_2,Bachelor's,F,referred,1,32,3.0,8,0,73.0,0,5,11,0,0,1,No
2441,71237,Operations,region_2,Bachelor's,M,other,1,48,2.0,7,0,56.0,0,4,11,0,1,0,No
